ancestor_id,treatment,population,term,estimate,std.error,statistic,p.value
anc2,B,19,umax,1.3441646402972034,0.019008649930619004,70.713314475429,9.484809543697224e-168
anc2,B,19,ks,6.955494777417198,1.183304841612387,5.878024438689482,1.316166865218691e-8
anc2,BS,25,umax,1.535338673049146,0.01675115043383187,91.6557151769267,1.0041673985934836e-192
anc2,BS,25,ks,6.275095492732799,0.959128702213399,6.542495786281492,3.459829098905472e-10
anc2,L,10,umax,1.8087280210115089,0.017775545422029027,101.75372839867818,1.158444207708444e-206
anc2,L,10,ks,19.691147207236106,1.5933888364644273,12.358030103266458,9.64978453192178e-28
anc2,N,1,umax,1.555175228338565,0.016117059399427484,96.49249219704485,4.9411707156184795e-191
anc2,N,1,ks,10.528764992616532,1.130986742408774,9.309361991452157,9.474145877700222e-18
anc2,none,anc2,umax,1.621781159673255,0.018603369823448318,87.17674136806693,1.2621202675190536e-177
anc2,none,anc2,ks,9.572621739898615,1.2844363602664568,7.452780095631029,1.861804083499766e-12
anc2,P,17,umax,1.588890490598435,0.015780574712382672,100.68647812627934,7.108504909404345e-188
anc2,P,17,ks,6.920598207737423,0.9485403819181077,7.296050162611752,5.140299629576135e-12
anc2,S,14,umax,1.3934668176816158,0.014959513344033209,93.14920784086989,5.725469245280137e-174
anc2,S,14,ks,5.077550601809371,1.0893113804177308,4.661248099567476,5.553630923373834e-6
anc3,B,7,umax,1.5639456428370868,0.016819647667839974,92.98325825382364,1.7278775223752354e-196
anc3,B,7,ks,15.111467433261366,1.4527877821433601,10.401703276280841,2.6507705738097768e-21
anc3,BS,2,umax,1.6247457342854112,0.014708871293879357,110.46025910645497,3.502582160369639e-205
anc3,BS,2,ks,10.95880408860245,1.0795124991198606,10.151623160952091,2.518895239304267e-20
anc3,L,26,umax,1.5411945873654291,0.019272632815562376,79.96803561374014,1.4024394955180351e-179
anc3,L,26,ks,13.33075883621744,1.5880103758023576,8.394629556171473,3.556397592692678e-15
anc3,N,27,umax,1.6311421032586362,0.01998763189028361,81.6075717329759,1.2347014179962705e-179
anc3,N,27,ks,8.327466039317452,1.3319300437450496,6.252179743541731,1.785450951988634e-9
anc3,none,anc3,umax,1.5927376428947104,0.020755233378622093,76.73908617839159,2.2686332831339618e-170
anc3,none,anc3,ks,14.499519735567393,1.7497745407830119,8.286507431453975,8.412141099060995e-15
anc3,P,29,umax,1.6576997022335078,0.020503370227006056,80.85010824464679,1.117877303365095e-178
anc3,P,29,ks,12.57271042333057,1.3620580834899558,9.230671272928342,1.3120689922711188e-17
anc3,S,4,umax,1.646644223637654,0.019514470114095992,84.38067823569673,4.2128642241135075e-170
anc3,S,4,ks,8.951891489090146,1.251147905477676,7.154942632999415,1.2174580572552462e-11
anc4,B,21,umax,1.5409626856994882,0.014457212161239106,106.58781710563308,1.985713083984417e-187
anc4,B,21,ks,4.8860616997870885,0.8113158881128292,6.022391242888599,7.399306312249484e-9
anc4,BS,35,umax,1.5859951386920292,0.014478934151882507,109.53811392849127,2.4391994128725437e-204
anc4,BS,35,ks,8.865829183992933,0.7294238774477582,12.154563975907012,1.0175395499782773e-26
anc4,C,24,umax,1.4509215570275216,0.01706323110843902,85.03205212463743,5.504823446449766e-186
anc4,C,24,ks,12.441479020962213,1.402146405035224,8.873166864946365,1.4200941331631896e-16
anc4,L,20,umax,1.7337814666327562,0.014880890020626359,116.51060280867385,3.496684956715233e-207
anc4,L,20,ks,17.726838591032404,1.326013782648587,13.368517599888534,1.4213377280824328e-30
anc4,N,11,umax,1.4595533885320042,0.017821677917967828,81.89764147069909,4.935208771350293e-181
anc4,N,11,ks,3.6695550010768545,0.9722150433414835,3.774427300018593,2.0089186963577756e-4
anc4,none,anc4,umax,1.5445907078877785,0.015413662479906498,100.209194920502,5.143025891328713e-196
anc4,none,anc4,ks,8.78291729052758,1.1195303993730283,7.845179814184846,1.475612870405742e-13
anc4,P,8,umax,1.4594696575173638,0.0152664140641099,95.60003098228931,5.578869619504988e-162
anc4,P,8,ks,1,0.8039991013533915,1.243782484727502,0.2151200817041031
anc4,S,15,umax,1.5754499565235318,0.012642960893473916,124.61083837859157,1.367200097829627e-204
anc4,S,15,ks,4.904958330235994,0.6275411408593776,7.816154210254591,2.293824719595466e-13
anc5,B,16,umax,1.675042508842926,0.013470612110630515,124.34791344938539,8.182919329696271e-218
anc5,B,16,ks,11.00412244349428,1.0965468311909494,10.035250780436622,5.603596636660897e-20
anc5,C,5,umax,1.6908989125837115,0.02234526010016315,75.67148043944074,5.1781983046397643e-166
anc5,C,5,ks,16.437809824210543,1.8770539249083438,8.757238993553793,4.1640845415858235e-16
anc5,L,23,umax,1.5967856415110682,0.013722558188871144,116.36209659552001,9.245574090313701e-212
anc5,L,23,ks,5.627093727927175,0.7651102034945408,7.35461859249316,3.075127200460108e-12
anc5,N,30,umax,1.7583617106250264,0.013193199166431238,133.27788722382058,3.3153281302550064e-221
anc5,N,30,ks,11.81335872244832,0.980667419694561,12.04624369608171,2.8134554717503e-26
anc5,none,anc5,umax,1.5109960232741624,0.012791986463918478,118.12051455308605,2.766493144357564e-213
anc5,none,anc5,ks,5.354492044068529,0.7419469651008667,7.216812381381724,7.092779743019961e-12
anc5,P,28,umax,1.4624586703181655,0.020608979605155554,70.96220668549334,1.1787094829841129e-161
anc5,P,28,ks,8.289176979431554,1.367251462559819,6.062657240762609,5.238747644603703e-9
anc5,S,18,umax,1.650038153702893,0.01560089088374078,105.76563646263047,1.8509146523163116e-206
anc5,S,18,ks,11.542452525889644,0.9771925947471513,11.811850179724557,8.796770592093023e-26
cc1690,B,31,umax,1.6707222395691619,0.020636847155919544,80.9582116369906,8.696454449857571e-178
cc1690,B,31,ks,9.330792837266658,1.2567798616123893,7.424365334192808,1.906177116326771e-12
cc1690,BS,9,umax,1.5835983004440513,0.013116833745221974,120.73022584592134,1.6598691914463578e-215
cc1690,BS,9,ks,8.012209931469723,0.8629524455880948,9.284648270519089,1.049880757028437e-17
cc1690,C,22,umax,1.6591491415137134,0.01731200506335831,95.83806933059316,4.719090566563947e-195
cc1690,C,22,ks,11.160755232265213,1.1480489506243006,9.72149769937604,4.419535598597709e-19
cc1690,L,33,umax,1.5786363393471712,0.01836107784560661,85.97732402321377,1.552034187555809e-185
cc1690,L,33,ks,11.449796952214468,1.3466337248584186,8.502532456194254,1.8172063262390718e-15
cc1690,N,3,umax,1.7050710306893317,0.015344677686153057,111.11807400346879,3.093067991119862e-197
cc1690,N,3,ks,10.9647386481049,1.191874433709028,9.199575339478857,2.648818211828727e-17
cc1690,none,cc1690,umax,1.6857849826539706,0.0136480781885929,123.51812169884506,3.100040155514805e-234
cc1690,none,cc1690,ks,14.903457499466008,1.0780156523717466,13.824898986092503,5.13037512302133e-33
cc1690,P,6,umax,1.4681654213020892,0.017013140964977913,86.29596523795071,1.2059177482879817e-176
cc1690,P,6,ks,10.877782803090534,1.3130852417883585,8.284140630714516,9.994405023434862e-15
cc1690,S,32,umax,1.471169340114259,0.014617850440385091,100.64197510530164,1.749879080117561e-199
cc1690,S,32,ks,7.741574343539499,0.9142957555276291,8.46725394571249,2.4469333233357294e-15
